p,s,D,y
210961,272,111,52768
454969,326,127,113774
2501689,320,71,625600
4819081,300,119,1204800
5101441,890,391,1275370
5516281,230,391,1379080
5784529,211,247,1446194
6693289,293,3167,323
9658489,209,149,2414995
20958961,229,355,2399749
33587761,465,1198,396970
107158921,322,103,26789756
106978369,455,123,126744900
121927129,215,231,30481840
152056129,356,1538,3804036
204338401,209,635,1084616
632402401,276,416,63158116
748553569,257,511,87138405
779106409,218,303,194776678
831299401,369,352,7824859
872348929,456,2102,318092488
1281198361,206,463,1320300748
1456818169,215,331,364204625
1516093489,203,643,379023533
1624508209,344,1575,663406520968
2022774601,322,4927,505694882
2484061441,319,304,6210616121
2850397489,206,6157,12599526
2939152969,281,1375,734788586
3434742721,281,1207,858685982
3685379161,218,1579,21345172
4181349481,218,3911,45337468
4201107121,314,6151,50276934
4972112401,206,7124,3028102
5183418769,370,3112,95854700
5331853081,251,2231,332976076
5343909841,284,1513,35977464
5557815481,245,1679,1389454290
5656192081,251,1761,1414052425
5777920201,216,2039,1444480560
6104197969,245,2309,1526055265
7528539769,206,7095,1882136716
8251228969,204,6472,62807404
